tweet_id,tweet_text,fecha_creacion,num_likes,num_retweets,idioma_original,usuario,texto_limpio,idioma_confirmado,longitud_texto,es_retweet,num_hashtags,num_exclamaciones,contiene_ayuda
914337078917419009,"RT @Scavino45: #USNSComfort en route to #PuertoRico, from Norfolk, Virginia to support Hurricane Maria relief efforts. 🇺🇸🇵🇷 https://t.co/HW…",2017-10-01 03:52:01+00:00,0,4053,en,KathySamira,rt usnscomfort en route to puertorico from norfolk virginia to support hurricane maria relief efforts united states puerto rico,en,127,1,2,0,0
914337081694015488,Navy Will Provide Puerto Rico with Direly Needed Hospital Services in Wake of Hurricane Maria https://t.co/Dc9Ip46IL4,2017-10-01 03:52:02+00:00,0,0,en,XGAMMA999,navy will provide puerto rico with direly needed hospital services in wake of hurricane maria,en,93,0,0,0,0
914337085720424450,RT @EricHolthaus: It's been 10 days since Maria made landfall. Ten. https://t.co/WiI0JvTsoZ,2017-10-01 03:52:03+00:00,0,147,en,EmotionalHog,rt it s been days since maria made landfall ten,en,47,1,0,0,0
914337091126951943,"RT @AJEnglish: ""We are dying, and you are killing us with inefficiency."" 

Mayor of San Juan begs for aid after Hurricane Maria https://t.c…",2017-10-01 03:52:04+00:00,0,178,en,zoozsays,rt we are dying and you are killing us with inefficiency mayor of san juan begs for aid after hurricane maria,en,109,1,0,0,0
914337091705724933,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",2017-10-01 03:52:04+00:00,0,4586,en,Josh_Small,rt harrowing drone footage shows a neighborhood of san juan puerto rico in aftermath of hurricane maria ghost town covered in sew,en,129,1,0,0,0
914337092695666688,RT @fema: It’s been 10 days since #Maria made landfall in the USVI &amp; Puerto Rico. Track progress made so far on our timeline: https://t.co/…,2017-10-01 03:52:05+00:00,0,1550,en,RolandoTrentini,rt it s been days since maria made landfall in the usvi amp puerto rico track progress made so far on our timeline,en,114,1,1,0,0
914337117479809025,The latest The Legal Rights Inst Daily! https://t.co/TTdioLheaG #hurricanemaria #iran,2017-10-01 03:52:11+00:00,0,0,en,LegalRightsInst,the latest the legal rights inst daily hurricanemaria iran,en,58,0,2,1,0
914337121804136448,RT @ASE: Trump blaming Puerto Rico &amp; its debt for the devastation caused by Hurricane Maria is like blaming the rape victim.,2017-10-01 03:52:12+00:00,0,39,en,RockStar_11111,rt trump blaming puerto rico amp its debt for the devastation caused by hurricane maria is like blaming the rape victim,en,119,1,0,0,0
914337128754106368,"RT @USCGSoutheast: .@USCG crews worked together with the @RedCross, @fema, and members of local #police, #fire and #government to distribut…",2017-10-01 03:52:13+00:00,0,4642,en,KathySamira,rt crews worked together with the and members of local police fire and government to distribut,en,94,1,3,0,0
914337136740052994,@StormPredictor I know. He seems more focus about NFL then Hurricane Maria..,2017-10-01 03:52:15+00:00,0,0,en,MassachusettsWx,i know he seems more focus about nfl then hurricane maria,en,57,0,0,0,0
914337138023567361,Puerto Rico's cop telling the truth about Hurricane Maria's aid https://t.co/UiiWaW65AV via @YouTube,2017-10-01 03:52:15+00:00,1,1,en,UghToHillary,puerto rico s cop telling the truth about hurricane maria s aid via,en,67,0,0,0,0
914337140036784128,RT @fema: It’s been 10 days since #Maria made landfall in the USVI &amp; Puerto Rico. Track progress made so far on our timeline: https://t.co/…,2017-10-01 03:52:16+00:00,0,1550,en,greenberg_les,rt it s been days since maria made landfall in the usvi amp puerto rico track progress made so far on our timeline,en,114,1,1,0,0
914337212019421185,RT @KurtSchlichter: ATTENTION: Lying media... https://t.co/IXFHCDnEkm,2017-10-01 03:52:33+00:00,0,251,en,GregKirkland331,rt attention lying media,en,24,1,0,0,0
914337218566803461,"RT @StevenTDennis: Parents not getting enough water for their babies in Puerto Rico. 
Hurricane Maria hit 9 days ago. https://t.co/CTRdHrsG…",2017-10-01 03:52:35+00:00,0,1952,en,JoeJoyce,rt parents not getting enough water for their babies in puerto rico hurricane maria hit days ago,en,96,1,0,0,1
914337220454215680,RT @USNavy: That #FridayFeeling when you're contributing to a multi-agency and joint effort to provide relief from Hurricane #Maria. @fema…,2017-10-01 03:52:35+00:00,0,508,en,KathySamira,rt that fridayfeeling when you re contributing to a multi agency and joint effort to provide relief from hurricane maria,en,120,1,2,0,0
914337230180597760,RT @thehill: Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/Gz4uKAmffU https://t.co/hknLTymHsf,2017-10-01 03:52:37+00:00,0,80,en,podella_v,rt anti trump chef feeds thousands in puerto rico after hurricane maria,en,71,1,0,0,0
914337239383109633,"RT @FiveThirtyEight: Compared to the other natural disasters of the past few weeks, Hurricane Maria has been relatively ignored. https://t.…",2017-10-01 03:52:40+00:00,0,207,en,judykmm,rt compared to the other natural disasters of the past few weeks hurricane maria has been relatively ignored,en,108,1,0,0,0
914337244722245632,RT @CNN: Royal Caribbean says it's canceling a cruise trip so it can use the ship to help victims of Hurricane Maria https://t.co/siJkY9OCm…,2017-10-01 03:52:41+00:00,0,1413,en,DHCalifornicus,rt royal caribbean says it s canceling a cruise trip so it can use the ship to help victims of hurricane maria,en,110,1,0,0,1
914337247293579269,RT @thehill: Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/Gz4uKAmffU https://t.co/hknLTymHsf,2017-10-01 03:52:41+00:00,0,80,en,RadFinch,rt anti trump chef feeds thousands in puerto rico after hurricane maria,en,71,1,0,0,0
914337260547473410,Puerto Rico's cop telling the truth about Hurricane Maria's aid: https://t.co/w8QamtlWaM via @YouTube,2017-10-01 03:52:45+00:00,0,0,en,SilentMjForMAGA,puerto rico s cop telling the truth about hurricane maria s aid via,en,67,0,0,0,0
914337263391313920,RT @thehill: Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/Gz4uKAmffU https://t.co/hknLTymHsf,2017-10-01 03:52:45+00:00,0,80,en,esepobrelechon,rt anti trump chef feeds thousands in puerto rico after hurricane maria,en,71,1,0,0,0
914337278016868353,RT @Reuters: Factbox: Relief efforts in Puerto Rico after Hurricane Maria https://t.co/u9dhvDnD64 https://t.co/jD7CtFNaN9,2017-10-01 03:52:49+00:00,0,58,en,stcamber01,rt factbox relief efforts in puerto rico after hurricane maria,en,62,1,0,0,0
914337278922838016,RT @iCyclone: My #Hurricane #MARIA video from ground zero in #PuertoRico. A truly ferocious cyclone I'll always remember. Notes:  https://t…,2017-10-01 03:52:49+00:00,0,722,en,AnthonyElTiempo,rt my hurricane maria video from ground zero in puertorico a truly ferocious cyclone i ll always remember notes,en,111,1,3,0,0
914337289031045121,RT @johncusack: Maybe if players hold up signs - saying -do your job - well do ours - https://t.co/yP32E3wC82,2017-10-01 03:52:51+00:00,0,64,en,RCThoughtfulMom,rt maybe if players hold up signs saying do your job well do ours,en,65,1,0,0,0
914337296228352000,"@realDonaldTrump @ricardorossello As If Puerto Rico Did Not Exist.' Hurricane Maria Is a Reminder of 'Second-Class' Status for Some
https://t.co/iommo0slzd https://t.co/z8bmL35Fj9",2017-10-01 03:52:53+00:00,0,0,en,JohnTRichter66,as if puerto rico did not exist hurricane maria is a reminder of second class status for some,en,93,0,0,0,0
914337304042442752,"RT @ramonashelburne: There are those who inexplicably don't believe how bad the crisis in Puerto Rico is. I hope they see this. 
https://t.…",2017-10-01 03:52:55+00:00,0,158,en,JPaulGrant,rt there are those who inexplicably don t believe how bad the crisis in puerto rico is i hope they see this,en,107,1,0,0,0
914337310015152128,RT @thehill: Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/Gz4uKAmffU https://t.co/hknLTymHsf,2017-10-01 03:52:56+00:00,0,80,en,CRM0523,rt anti trump chef feeds thousands in puerto rico after hurricane maria,en,71,1,0,0,0
914337314586845184,RT @DeptofDefense: #DoD &amp; @FEMA provide humanitarian relief for #PuertoRico &amp; the #USVI in the wake of #HurricaneMaria. #ReliefEfforts http…,2017-10-01 03:52:58+00:00,0,779,en,evilbitchcpa,rt dod amp provide humanitarian relief for puertorico amp the usvi in the wake of hurricanemaria reliefefforts,en,110,1,5,0,0
914337326960185346,RT @WCKitchen: Support our #ChefsForPuertoRico providing meals to #HurricaneMaria victims. Donate now: https://t.co/jys67EFgtc. @chefjosean…,2017-10-01 03:53:00+00:00,0,3019,en,debbie122852,rt support our chefsforpuertorico providing meals to hurricanemaria victims donate now,en,86,1,2,0,0
